coordinates,tarif,accessibilite_pmr,indications_localisation,type,horaires,relais_bebe,commune,code_postal,departement,code_departement,latitude,longitude
"[48.8323209997339, 2.3758022]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8323209997339,2.3758022
"[48.860612782655, 2.3327384432682]",pas d'info,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.860612782655,2.3327384432682
"[48.8125123299419, 2.14968048627033]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Versailles,78646,Yvelines,78,48.8125123299419,2.14968048627033
"[48.901013168485, 2.33540567728072]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),6:00-22:00,pas d'info,Paris,75056,Paris,75,48.901013168485,2.33540567728072
"[48.84019224440348, 2.3794772572660587]",Gratuit,Oui,Station metro 14 - Bercy - Dans le couloir en direction des quais ligne 6 ou direction quais ligne 14.,Toilette publique  RATP_x000D_,pas d'info,pas d'info,Paris,75056,Paris,75,48.84019224440348,2.3794772572660587
"[48.8971999, 2.222709]",Gratuit,Oui,Station RER A - Nanterre - Prefecture - A proximité du point de vente - information,Toilette publique  RATP_x000D_,pas d'info,pas d'info,Nanterre,92050,Hauts-de-Seine,92,48.8971999,2.222709
"[48.8313872997341, 2.5407302]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Villiers-sur-Marne,94079,Val-de-Marne,94,48.8313872997341,2.5407302
"[48.8226605997363, 2.3668592]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),24/7,pas d'info,Paris,75056,Paris,75,48.8226605997363,2.3668592
"[48.828054399735, 2.356537]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.828054399735,2.356537
"[48.8725354997239, 2.3265199]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8725354997239,2.3265199
"[48.8409998997318, 2.4022022]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8409998997318,2.4022022
"[48.9324566997091, 2.0418119]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Poissy,78498,Yvelines,78,48.9324566997091,2.0418119
"[48.791477099744, 2.3641861]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Villejuif,94076,Val-de-Marne,94,48.791477099744,2.3641861
"[48.8607262997269, 2.3528287]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8607262997269,2.3528287
"[48.4451744998297, 2.6031789]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Barbizon,77022,Seine-et-Marne,77,48.4451744998297,2.6031789
"[48.892441799719, 2.4135582]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Pantin,93055,Seine-Saint-Denis,93,48.892441799719,2.4135582
"[48.856324199728, 2.2963476]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.856324199728,2.2963476
"[48.9426374997065, 2.3232811]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Villeneuve-la-Garenne,92078,Hauts-de-Seine,92,48.9426374997065,2.3232811
"[48.7164054997627, 2.2520478]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Palaiseau,91477,Essonne,91,48.7164054997627,2.2520478
"[49.0553247996786, 2.5496522]",pas d'info,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Villeron,95675,Val-d'Oise,95,49.0553247996786,2.5496522
"[48.8093146997396, 2.2171609]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Meudon,92048,Hauts-de-Seine,92,48.8093146997396,2.2171609
"[48.8967303997179, 2.2766496]",Payant,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Levallois-Perret,92044,Hauts-de-Seine,92,48.8967303997179,2.2766496
"[48.8379022997325, 2.3556275]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8379022997325,2.3556275
"[48.791530499744, 2.290861]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Fontenay-aux-Roses,92032,Hauts-de-Seine,92,48.791530499744,2.290861
"[48.8688976997248, 2.3439381]",pas d'info,Non,Mōpa,Toilettes dans un bâtiment recevant du public,Tu-Sa 12:00-21:30,pas d'info,Paris,75056,Paris,75,48.8688976997248,2.3439381
"[48.7094159997644, 2.1683586]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Gif-sur-Yvette,91272,Essonne,91,48.7094159997644,2.1683586
"[48.8909256997194, 2.4076981]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Pantin,93055,Seine-Saint-Denis,93,48.8909256997194,2.4076981
"[48.8740735997236, 2.3293971]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8740735997236,2.3293971
"[48.8329291997338, 2.3844702]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8329291997338,2.3844702
"[48.8629126997263, 2.3621408]",Gratuit,Non,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8629126997263,2.3621408
"[48.6280566997845, 2.0980714]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Forges-les-Bains,91249,Essonne,91,48.6280566997845,2.0980714
"[48.9095505997148, 2.1786058]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Carrières-sur-Seine,78124,Yvelines,78,48.9095505997148,2.1786058
"[48.6448824997804, 1.8196781]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Rambouillet,78517,Yvelines,78,48.6448824997804,1.8196781
"[48.787692199745, 2.2291181]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Meudon,92048,Hauts-de-Seine,92,48.787692199745,2.2291181
"[49.0143683483906, 2.07905026811645]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Neuville-sur-Oise,95450,Val-d'Oise,95,49.0143683483906,2.07905026811645
"[48.8324873694921, 2.37255077465658]",pas d'info,Oui,La Felicità,Toilettes dans un bâtiment recevant du public,"Mo-We 09:00-00:00; Th, Fr 09:00-01:00; Sa 12:00-01:00",pas d'info,Paris,75056,Paris,75,48.8324873694921,2.37255077465658
"[48.7622814997513, 2.4254024]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Choisy-le-Roi,94022,Val-de-Marne,94,48.7622814997513,2.4254024
"[48.8646010997259, 2.4250495]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Bagnolet,93006,Seine-Saint-Denis,93,48.8646010997259,2.4250495
"[48.839852999732, 2.2630812]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),6:00-22:00,pas d'info,Paris,75056,Paris,75,48.839852999732,2.2630812
